chapter number, title, wordcount, timestamp
0,"Bonds 1.1",8664,2013-12-17T17:46:47-05:00
1,"Bonds 1.2",8410,2013-12-17T18:01:33-05:00
2,"Bonds 1.3",6979,2013-12-24T00:01:51-05:00
3,"Bonds 1.4",6882,2013-12-30T00:01:18-05:00
4,"Bonds 1.5",6633,2014-01-04T00:01:30-05:00
5,"Bonds 1.6",6711,2014-01-07T00:01:34-05:00
6,"Bonds 1.7",7101,2014-01-11T00:01:18-05:00
7,"Gathered Pages: 1",4959,2014-01-14T00:01:54-05:00
8,"Damages 2.1",6491,2014-01-18T00:01:16-05:00
9,"Damages 2.2",7605,2014-01-21T00:01:04-05:00
10,"Damages 2.3",6846,2014-01-25T00:01:36-05:00
11,"Damages 2.4",6469,2014-01-28T00:01:08-05:00
12,"Damages 2.5",7324,2014-02-01T00:01:59-05:00
13,"Damages 2.6",6726,2014-02-04T00:01:17-05:00
14,"Gathered Pages: 2",6735,2014-02-06T00:01:40-05:00
15,"Damages 2.7",6581,2014-02-08T00:01:33-05:00
16,"Histories (Arc 2)",8121,2014-02-11T00:01:31-05:00
17,"Breach 3.1",6481,2014-02-15T00:01:24-05:00
18,"Breach 3.2",7433,2014-02-18T00:01:35-05:00
19,"Breach 3.3",7280,2014-02-20T00:01:58-05:00
20,"Breach 3.4",6567,2014-02-22T00:01:56-05:00
21,"Breach 3.5",6809,2014-02-25T00:01:42-05:00
22,"Histories (Arc 3)",8142,2014-03-01T00:01:43-05:00
23,"Collateral 4.1",8623,2014-03-04T00:01:55-05:00
24,"Collateral 4.2",6953,2014-03-06T00:01:20-05:00
25,"Collateral 4.3",7793,2014-03-08T00:01:35-05:00
26,"Collateral 4.4",6935,2014-03-11T00:01:27-05:00
27,"Collateral 4.5",6911,2014-03-15T00:01:10-05:00
28,"Collateral 4.6",6409,2014-03-18T00:01:38-05:00
29,"Collateral 4.7",6620,2014-03-20T00:01:11-05:00
30,"Collateral 4.8",6975,2014-03-22T00:01:55-05:00
31,"Collateral 4.9",6437,2014-03-25T00:01:19-05:00
32,"Collateral 4.10",6657,2014-03-29T00:01:07-05:00
33,"Collateral 4.11",7236,2014-04-01T00:01:04-05:00
34,"Collateral 4.12",9391,2014-04-03T00:01:32-05:00
35,"Gathered Pages: 4",5917,2014-04-05T00:01:43-05:00
36,"Conviction 5.1",7121,2014-04-08T00:01:08-05:00
37,"Conviction 5.2",7414,2014-04-12T00:01:53-05:00
38,"Conviction 5.3",6163,2014-04-15T00:01:59-05:00
39,"Conviction 5.4",6515,2014-04-17T00:01:49-05:00
40,"Conviction 5.5",6552,2014-04-19T00:01:30-05:00
41,"Conviction 5.6",7364,2014-04-22T00:01:16-05:00
42,"Histories (Arc 5)",7329,2014-04-26T00:01:57-05:00
43,"Subordination 6.1",6829,2014-04-29T00:01:23-05:00
44,"Subordination 6.2",6562,2014-05-01T00:01:55-05:00
45,"Subordination 6.3",6216,2014-05-03T00:01:40-05:00
46,"Subordination 6.4",6382,2014-05-06T00:01:20-05:00
47,"Subordination 6.5",6124,2014-05-08T00:01:19-05:00
48,"Subordination 6.6",6793,2014-05-10T00:01:59-05:00
