chapter number, title, wordcount, timestamp
0,"Blood Run Cold – 0.0",7188,2020-05-05T00:03:28-04:00
1,"Brochure, ‘Experience Kennet’",5,2020-05-07T00:03:02-04:00
2,"Lost for Words – 1.1",9210,2020-05-09T00:03:33-04:00
3,"Lost for Words – 1.2",6813,2020-05-12T00:03:39-04:00
4,"[1.2 Spoilers] Notes on Others",1282,2020-05-14T00:03:47-04:00
5,"Lost for Words – 1.3",9513,2020-05-16T00:03:56-04:00
6,"Lost for Words – 1.4",8631,2020-05-19T00:03:31-04:00
7,"[1.4 Spoilers] Notes on Practices #1",5,2020-05-21T00:02:36-04:00
8,"Lost for Words – 1.5",8216,2020-05-23T00:03:00-04:00
9,"Lost for Words – 1.6",9672,2020-05-26T00:03:04-04:00
10,"[1.6 Spoilers] Flyer & App",5,2020-05-28T00:03:23-04:00
11,"Lost for Words – 1.7",9748,2020-05-30T00:03:01-04:00
12,"Lost for Words – 1.8",9190,2020-06-02T00:03:44-04:00
13,"[1.8 Spoilers] Inventories",614,2020-06-04T00:03:24-04:00
14,"Lost for Words – 1.z",11755,2020-06-06T00:03:56-04:00
15,"Stolen Away – 2.1",7335,2020-06-09T00:03:09-04:00
16,"[2.1 Spoilers] Interview Notes I",781,2020-06-11T00:03:13-04:00
17,"Stolen Away – 2.2",10029,2020-06-13T00:03:06-04:00
18,"Stolen Away – 2.3",8918,2020-06-16T00:03:07-04:00
19,"[2.3 Spoilers] Spell Notes #2",5,2020-06-18T00:03:20-04:00
20,"Stolen Away – 2.4",15241,2020-06-20T00:03:04-04:00
21,"Stolen Away – 2.5",12475,2020-06-23T00:03:35-04:00
22,"[2.5 Spoilers] Gifts Collected",3589,2020-06-25T00:03:07-04:00
23,"Stolen Away – 2.6",12016,2020-06-27T00:03:31-04:00
24,"Stolen Away – 2.7",12342,2020-06-30T00:03:37-04:00
25,"[2.7 Spoilers] Location Diary",5,2020-07-02T00:03:56-04:00
26,"Stolen Away – 2.8",11686,2020-07-04T00:03:44-04:00
27,"Stolen Away – 2.9",11129,2020-07-07T00:03:01-04:00
28,"[2.9 Spoilers] – End of the Trail",5,2020-07-09T00:03:38-04:00
29,"Stolen Away – 2.z",15688,2020-07-11T00:03:16-04:00
30,"Out on a Limb – 3.1",9029,2020-07-14T00:03:48-04:00
31,"[3.1 Spoilers] Interview Notes 2",687,2020-07-16T00:03:43-04:00
32,"Out on a Limb – 3.2",11670,2020-07-18T00:03:58-04:00
33,"Out on a Limb – 3.3",6777,2020-07-21T00:03:07-04:00
34,"[3.3 Spoilers] – Timelines",5,2020-07-23T00:03:15-04:00
35,"Out on a Limb – 3.4",9575,2020-07-25T00:03:41-04:00
36,"Out on a Limb – 3.5",8470,2020-07-28T00:03:21-04:00
37,"[3.5 Spoilers] Gifts Received",5,2020-07-30T00:03:25-04:00
38,"Out on a Limb – 3.6",12991,2020-08-01T00:03:27-04:00
39,"Out on a Limb – 3.7",8323,2020-08-04T00:03:15-04:00
40,"[3.7 Spoilers] Confiscated Items",5,2020-08-06T00:03:35-04:00
41,"Out on a Limb – 3.8",11996,2020-08-08T00:03:19-04:00
42,"Out on a Limb – 3.9",9969,2020-08-11T00:03:50-04:00
43,"[3.9 Spoilers] SunnyDay Logs",5,2020-08-13T00:03:38-04:00
44,"Out on a Limb – 3.z",12788,2020-08-15T00:03:38-04:00
45,"Leaving a Mark – 4.1",8867,2020-08-18T00:03:21-04:00
