chapter number, title, wordcount, timestamp
0,"Taking Root 1.1",6402,2014-12-24T00:01:00-04:00
1,"Taking Root 1.2",5742,2015-03-14T00:01:24-04:00
2,"Taking Root 1.3",5230,2015-03-17T00:01:26-04:00
3,"Taking Root 1.4",4697,2015-03-19T00:01:31-04:00
4,"Taking Root 1.5",5469,2015-03-21T00:01:00-04:00
5,"Taking Root 1.6",6256,2015-03-24T00:01:39-04:00
6,"Taking Root 1.7",4365,2015-03-26T00:01:11-04:00
7,"Taking Root 1.8",4549,2015-03-28T00:01:31-04:00
8,"Taking Root 1.9",5687,2015-03-31T00:01:14-04:00
9,"Taking Root 1.10",6501,2015-04-04T00:01:05-04:00
10,"Taking Root 1.11",4858,2015-04-07T00:01:00-04:00
11,"Taking Root 1.12",5029,2015-04-11T00:01:44-04:00
12,"Enemy (Arc 1)",4303,2015-04-14T00:01:07-04:00
13,"Cat out of the Bag 2.1",4212,2015-04-16T00:01:57-04:00
14,"Cat out of the Bag 2.2",4069,2015-04-18T00:01:46-04:00
15,"Cat out of the Bag 2.3",4004,2015-04-21T00:01:24-04:00
16,"Cat out of the Bag 2.4",4245,2015-04-25T00:01:41-04:00
17,"Cat out of the Bag 2.5",4335,2015-04-28T00:01:44-04:00
18,"Cat out of the Bag 2.6",4222,2015-04-30T00:01:04-04:00
19,"Cat out of the Bag 2.7",4379,2015-05-02T00:01:50-04:00
20,"Cat out of the Bag 2.8",4184,2015-05-05T00:01:48-04:00
21,"Cat out of the Bag 2.9",4043,2015-05-09T00:01:47-04:00
22,"Cat out of the Bag 2.10",4470,2015-05-12T00:01:43-04:00
23,"Cat out of the Bag 2.11",5329,2015-05-14T00:01:19-04:00
24,"Enemy (Arc 2)",4716,2015-05-16T00:01:08-04:00
25,"Lips Sealed 3.1",4740,2015-05-19T00:01:46-04:00
26,"Lips Sealed 3.2",4331,2015-05-23T00:01:28-04:00
27,"Lips Sealed 3.3",4233,2015-05-26T00:01:39-04:00
28,"Lips Sealed 3.4",4612,2015-05-28T00:01:04-04:00
29,"Lips Sealed 3.5",4819,2015-05-30T00:01:19-04:00
30,"Lips Sealed 3.6",4769,2015-06-02T00:01:38-04:00
31,"Lips Sealed 3.7",4291,2015-06-06T00:01:20-04:00
32,"Lips Sealed 3.8",4489,2015-06-09T00:01:28-04:00
33,"Lips Sealed 3.9",4963,2015-06-11T00:01:28-04:00
34,"Lips Sealed 3.10",4742,2015-06-13T00:01:27-04:00
35,"Enemy (Arc 3)",6247,2015-06-16T00:01:37-04:00
36,"Stitch in Time – 4.1",4101,2015-06-20T00:01:59-04:00
37,"Stitch in Time – 4.2",4507,2015-06-23T00:01:14-04:00
38,"Stitch in Time – 4.3",4696,2015-06-25T00:01:55-04:00
39,"Stitch in Time – 4.4",4219,2015-06-27T00:01:24-04:00
40,"Stitch in Time – 4.5",4220,2015-06-30T00:01:00-04:00
41,"Stitch in Time – 4.6",4029,2015-07-04T00:01:13-04:00
42,"Stitch in Time – 4.7",4320,2015-07-07T00:01:32-04:00
43,"Stitch in Time – 4.8",4594,2015-07-11T00:01:35-04:00
44,"Stitch in Time – 4.9",4239,2015-07-14T00:01:01-04:00
45,"Stitch in Time – 4.10",5822,2015-07-18T00:01:24-04:00
46,"Stitch in Time – 4.11",4171,2015-07-21T00:01:58-04:00
47,"Stitch in Time – 4.12",4857,2015-07-23T00:01:14-04:00
48,"Enemy (Arc 4)",4053,2015-07-25T00:01:03-04:00
49,"Esprit de Corpse – 5.1",4335,2015-07-28T00:01:42-04:00
50,"Esprit de Corpse – 5.2",4593,2015-07-30T00:01:04-04:00
51,"Esprit de Corpse – 5.3",4253,2015-08-01T00:01:49-04:00
52,"Esprit de Corpse – 5.4",5031,2015-08-04T00:01:20-04:00
53,"Esprit de Corpse – 5.5",4067,2015-08-08T00:01:07-04:00
54,"Esprit de Corpse – 5.6",4470,2015-08-11T00:01:18-04:00
