chapter number, title, wordcount, timestamp
0,"Daybreak – 1.1",7490,2017-09-11T00:02:42-04:00
1,"Glow-worm – 0.1",2288,2017-10-21T00:02:52-04:00
2,"Glow-worm – 0.2",2778,2017-10-24T00:02:37-04:00
3,"Glow-worm – 0.3",2791,2017-10-26T00:01:13-04:00
4,"Glow-worm – 0.4",2879,2017-10-28T00:01:08-04:00
5,"Glow-worm – 0.5",890,2017-10-31T00:01:49-04:00
6,"Glow-worm – 0.6",3500,2017-10-31T00:02:58-04:00
7,"Glow-worm – 0.7",3494,2017-11-02T00:01:44-04:00
8,"Glow-worm – 0.8",4512,2017-11-04T00:02:27-04:00
9,"Glow-worm – 0.9",3654,2017-11-07T00:01:39-04:00
10,"Daybreak – 1.2",4681,2017-11-14T00:02:31-04:00
11,"Daybreak – 1.3",5202,2017-11-18T00:01:41-04:00
12,"Daybreak – 1.4",5419,2017-11-21T00:02:42-04:00
13,"Daybreak – 1.5",4929,2017-11-25T00:02:22-04:00
14,"Daybreak – 1.6",5032,2017-11-28T00:01:46-04:00
15,"Daybreak – 1.7",6382,2017-11-30T00:02:00-04:00
16,"Daybreak – 1.8",5543,2017-12-01T00:02:52-04:00
17,"Daybreak – Interlude 1",7266,2017-12-05T00:02:46-04:00
18,"Flare – 2.1",6940,2017-12-09T00:02:55-04:00
19,"Flare – 2.2",5680,2017-12-12T00:02:32-04:00
20,"Flare – 2.3",5975,2017-12-16T00:01:11-04:00
21,"Flare – 2.4",7110,2017-12-19T00:01:04-04:00
22,"Flare – 2.5",10247,2017-12-23T00:02:24-04:00
23,"Flare – 2.6",10697,2017-12-26T00:02:42-04:00
24,"Flare – 2.7",5989,2017-12-30T00:02:43-04:00
25,"Flare – Interlude 2",6385,2018-01-02T00:02:12-04:00
26,"Glare – 3.1",5082,2018-01-06T00:02:47-04:00
27,"Glare – 3.2",5700,2018-01-09T00:02:21-04:00
28,"Glare – 3.3",8961,2018-01-13T00:02:01-04:00
29,"Glare – 3.4",5179,2018-01-16T00:02:32-04:00
30,"Glare – 3.5",6639,2018-01-20T00:02:19-04:00
31,"Glare – 3.6",6596,2018-01-23T00:02:48-04:00
32,"Glare – Interlude 3",8504,2018-01-25T00:02:44-04:00
33,"Shade – 4.1",5573,2018-01-27T00:02:58-04:00
34,"Shade – 4.2",7891,2018-01-30T00:02:29-04:00
35,"Shade – 4.3",7310,2018-02-03T00:02:52-04:00
36,"Shade – Interlude 4a",8966,2018-02-06T00:02:07-04:00
37,"Shade – 4.4",9655,2018-02-08T00:02:25-04:00
38,"Shade – 4.5",8431,2018-02-10T00:02:58-04:00
39,"Shade – Interlude 4b",10286,2018-02-13T00:02:29-04:00
40,"Shade – 4.6",8376,2018-02-17T00:02:36-04:00
41,"Shade – 4.7",7013,2018-02-20T00:02:33-04:00
42,"Shade – Interlude 4c",10267,2018-02-22T00:02:40-04:00
43,"Shadow – 5.1",6976,2018-02-24T00:02:40-04:00
44,"Shadow – 5.2",5637,2018-02-27T00:02:36-04:00
45,"Shadow – 5.3",6331,2018-03-03T00:02:25-04:00
46,"Shadow – 5.4",6533,2018-03-06T00:02:36-04:00
47,"Shadow – 5.5",8175,2018-03-10T00:02:31-04:00
48,"Shadow – Interlude 5d",10437,2018-03-13T00:02:44-04:00
49,"Shadow – 5.6",10006,2018-03-17T00:02:04-04:00
50,"Shadow – 5.7",5723,2018-03-20T00:02:45-04:00
51,"Shadow – 5.8",5759,2018-03-22T00:02:50-04:00
52,"Shadow – 5.9",8355,2018-03-24T00:02:22-04:00
53,"Shadow – 5.10",6853,2018-03-27T00:02:17-04:00
54,"Shadow – 5.11",5145,2018-03-31T00:02:04-04:00
55,"Shadow – 5.12",7801,2018-04-03T00:02:14-04:00
56,"Shadow – Interlude 5.x",7089,2018-04-07T00:02:00-04:00
57,"Shadow – Interlude 5.y",7412,2018-04-10T00:02:33-04:00
58,"Pitch – 6.1",5889,2018-04-14T00:02:29-04:00
59,"Pitch – 6.2",5378,2018-04-17T00:02:12-04:00
60,"Pitch – 6.3",5618,2018-04-21T00:02:08-04:00
61,"Pitch – 6.4",5563,2018-04-24T00:02:57-04:00
62,"Pitch – 6.5",7977,2018-04-28T00:02:14-04:00
63,"Pitch – 6.6",6123,2018-05-01T00:02:52-04:00
64,"Pitch – 6.7",5613,2018-05-05T00:02:04-04:00
65,"Pitch – 6.8",7309,2018-05-08T00:02:13-04:00
66,"Pitch – 6.9",6504,2018-05-11T00:02:52-04:00
67,"Torch – 7.1",5205,2018-05-15T00:02:18-04:00
68,"Torch – 7.2",6129,2018-05-19T00:02:15-04:00
69,"Torch – 7.3",6567,2018-05-22T00:02:56-04:00
70,"Torch – 7.4",2848,2018-05-26T00:02:07-04:00
71,"Eclipse – x.1",6588,2018-05-26T00:03:48-04:00
72,"Eclipse – x.2",5435,2018-05-27T00:02:50-04:00
73,"Eclipse – x.3",6534,2018-05-28T00:02:01-04:00
74,"Eclipse – x.4",6892,2018-05-29T00:02:49-04:00
75,"Eclipse – x.5",6890,2018-05-30T00:02:28-04:00
76,"Eclipse – x.6",6012,2018-05-31T00:02:34-04:00
77,"Eclipse – x.7",7531,2018-06-01T00:02:20-04:00
78,"Eclipse – x.8",7120,2018-06-02T00:02:05-04:00
79,"Torch – 7.5",5729,2018-06-05T08:39:26-04:00
80,"Torch – 7.6",6551,2018-06-09T00:02:17-04:00
81,"Torch – 7.7",5994,2018-06-12T00:02:19-04:00
82,"Torch – 7.8",6541,2018-06-16T00:02:00-04:00
83,"Torch – 7.9",6150,2018-06-19T00:02:49-04:00
84,"Torch – 7.10",9103,2018-06-23T00:02:33-04:00
85,"Torch – Interlude 7.x",12526,2018-06-26T00:02:49-04:00
86,"Torch – Interlude 7.y",9198,2018-06-30T09:58:13-04:00
87,"Beacon – 8.1",5648,2018-07-03T00:02:05-04:00
88,"Beacon – 8.2",5293,2018-07-07T00:02:01-04:00
89,"Beacon – 8.3",5881,2018-07-10T00:02:06-04:00
90,"Beacon – 8.4",6382,2018-07-14T00:02:48-04:00
91,"Beacon – 8.5",6845,2018-07-17T00:02:22-04:00
92,"Beacon – 8.6",5970,2018-07-21T00:02:56-04:00
93,"Beacon – 8.7",5490,2018-07-24T00:02:43-04:00
94,"Beacon – 8.8",5109,2018-07-28T00:02:58-04:00
95,"Beacon – 8.9",5310,2018-07-31T00:02:13-04:00
96,"Beacon – 8.10",5741,2018-08-04T00:02:25-04:00
97,"Beacon – 8.11",5116,2018-08-07T00:02:04-04:00
98,"Beacon – 8.12",6083,2018-08-11T00:02:40-04:00
99,"Beacon – Interlude 8.x",6562,2018-08-14T00:02:37-04:00
100,"Beacon – Interlude 8.y",7371,2018-08-18T10:20:49-04:00
101,"Gleaming – 9.1",5363,2018-08-21T00:02:24-04:00
102,"Gleaming – 9.2",5326,2018-08-25T00:02:05-04:00
103,"Gleaming – 9.3",6157,2018-08-28T00:02:41-04:00
104,"Gleaming – 9.4",6155,2018-09-01T00:02:18-04:00
105,"Gleaming – 9.5",5704,2018-09-04T00:02:17-04:00
106,"Gleaming – 9.6",5445,2018-09-08T00:02:48-04:00
107,"Gleaming – 9.7",5720,2018-09-11T00:02:25-04:00
108,"Gleaming – Interlude 9.x",13962,2018-09-13T00:02:59-04:00
109,"Gleaming – 9.8",5561,2018-09-15T00:02:56-04:00
110,"Gleaming – 9.9",7025,2018-09-18T00:02:53-04:00
111,"Gleaming – Interlude 9.y",9743,2018-09-22T00:02:06-04:00
112,"Gleaming – 9.10",5835,2018-09-25T00:02:10-04:00
113,"Gleaming – 9.11",9274,2018-09-29T00:02:49-04:00
114,"Gleaming – 9.12",6381,2018-10-02T00:02:36-04:00
