chapter number, title, wordcount, timestamp
0,Gestation 1.1,2939,2011-06-11T00:01:19-05:00
1,Gestation 1.2,2254,2011-06-14T00:01:01-05:00
2,Gestation 1.3,1943,2011-06-18T00:01:21-05:00
3,Gestation 1.4,2176,2011-06-21T00:01:41-05:00
4,Gestation 1.5,2727,2011-06-25T00:01:22-05:00
5,Gestation 1.6,2344,2011-06-28T00:01:30-05:00
6,Interlude 1,3134,2011-07-02T00:01:22-05:00
7,Insinuation 2.1,1388,2011-07-05T00:01:11-05:00
8,Insinuation 2.2,2729,2011-07-09T00:01:29-05:00
9,Insinuation 2.3,2245,2011-07-12T00:01:30-05:00
10,Insinuation 2.4,2201,2011-07-16T00:01:25-05:00
11,Insinuation 2.5,2029,2011-07-19T00:01:44-05:00
12,Insinuation 2.6,2985,2011-07-23T00:01:39-05:00
13,Insinuation 2.7,3563,2011-07-26T00:01:39-05:00
14,Insinuation 2.8,2676,2011-07-30T00:01:36-05:00
15,Insinuation 2.9,1941,2011-08-02T00:01:18-05:00
16,Interlude 2,3667,2011-08-06T00:01:21-05:00
17,Agitation 3.1,3580,2011-08-09T00:01:21-05:00
18,Agitation 3.2,2934,2011-08-13T00:01:48-05:00
19,Agitation 3.3,4144,2011-08-16T00:01:26-05:00
20,Agitation 3.4,2997,2011-08-20T00:01:48-05:00
21,Agitation 3.5,1960,2011-08-23T00:01:53-05:00
22,Agitation 3.6,1874,2011-08-27T00:01:30-05:00
23,Agitation 3.7,2513,2011-08-30T00:01:47-05:00
24,Agitation 3.8,2810,2011-09-03T00:01:04-05:00
25,Agitation 3.9,2389,2011-09-06T00:01:34-05:00
26,Agitation 3.10,2361,2011-09-10T00:01:57-05:00
27,Agitation 3.11,2824,2011-09-13T00:01:57-05:00
28,Agitation 3.12,2767,2011-09-17T00:01:48-05:00
29,Interlude 3,4771,2011-09-20T00:01:50-05:00
30,Shell 4.1,2519,2011-09-24T00:01:19-05:00
31,Shell 4.2,2398,2011-09-27T00:01:20-05:00
32,Shell 4.3,3064,2011-10-01T00:01:28-05:00
33,Shell 4.4,3523,2011-10-04T00:01:36-05:00
34,Shell 4.5,2165,2011-10-08T00:01:00-05:00
35,Shell 4.6,2472,2011-10-11T00:01:34-05:00
36,Interlude 3½ (Bonus),4062,2011-10-11T00:02:41-05:00
37,Shell 4.7,2869,2011-10-15T00:01:22-05:00
38,Shell 4.8,2429,2011-10-18T00:01:37-05:00
39,Shell 4.9,2254,2011-10-22T00:01:07-05:00
40,Shell 4.10,2732,2011-10-25T00:01:39-05:00
41,Shell 4.11,4290,2011-10-29T00:01:28-05:00
42,Interlude 4,2791,2011-11-01T00:01:18-05:00
43,Hive 5.1,3734,2011-11-05T00:01:18-05:00
44,Hive 5.2,2941,2011-11-08T00:01:51-05:00
45,Hive 5.3,2871,2011-11-12T00:01:27-05:00
46,Hive 5.4,4174,2011-11-15T00:01:20-05:00
47,Hive 5.5,2527,2011-11-19T00:01:36-05:00
48,Hive 5.6,2394,2011-11-22T00:01:09-05:00
49,Hive 5.7,2244,2011-11-26T00:01:22-05:00
50,Hive 5.8,2621,2011-11-29T00:01:46-05:00
51,Hive 5.9,4647,2011-12-03T00:01:20-05:00
52,Hive 5.10,4105,2011-12-06T00:01:19-05:00
53,Interlude 5,5195,2011-12-10T00:01:35-05:00
54,Tangle 6.1,2926,2011-12-13T00:01:24-05:00
55,Tangle 6.2,3336,2011-12-17T00:01:04-05:00
56,Tangle 6.3,4322,2011-12-20T00:01:45-05:00
57,Tangle 6.4,2608,2011-12-24T00:01:47-05:00
58,Tangle 6.5,4134,2011-12-27T00:01:37-05:00
59,Tangle 6.6,6123,2011-12-31T00:01:38-05:00
60,Tangle 6.7,4093,2012-01-03T00:01:22-05:00
61,Tangle 6.8,4029,2012-01-07T00:01:22-05:00
62,Tangle 6.9,4971,2012-01-10T00:01:59-05:00
63,Interlude 6,7667,2012-01-14T00:01:15-05:00
64,Buzz 7.1,3863,2012-01-17T00:01:45-05:00
65,Buzz 7.2,2929,2012-01-21T00:01:16-05:00
66,Buzz 7.3,4091,2012-01-24T00:01:59-05:00
67,Buzz 7.4,3535,2012-01-28T00:01:55-05:00
68,Buzz 7.5,3095,2012-01-31T00:01:17-05:00
69,Buzz 7.6,4155,2012-02-04T00:01:53-05:00
70,Buzz 7.7,3351,2012-02-07T00:01:39-05:00
71,Buzz 7.8,3996,2012-02-11T00:01:01-05:00
72,Buzz 7.9,2645,2012-02-14T00:01:25-05:00
73,Buzz 7.10,3816,2012-02-18T00:01:30-05:00
74,Buzz 7.11,3436,2012-02-21T00:01:46-05:00
75,Buzz 7.12,2941,2012-02-25T00:01:21-05:00
76,Interlude 7,5381,2012-02-28T00:01:11-05:00
77,Extermination 8.1,3109,2012-03-03T00:01:33-05:00
78,Extermination 8.2,3172,2012-03-06T00:01:16-05:00
79,Interlude 8 (Bonus),5971,2012-03-08T00:01:24-05:00
80,Extermination 8.3,6580,2012-03-10T00:01:58-05:00
81,Extermination 8.4,5775,2012-03-13T00:01:12-05:00
82,Extermination 8.5,9187,2012-03-17T00:01:04-05:00
83,Extermination 8.6,5200,2012-03-20T00:01:34-05:00
84,Extermination 8.7,4715,2012-03-24T00:01:20-05:00
85,Extermination 8.8,3994,2012-03-27T00:01:29-05:00
86,Interlude 8,4080,2012-03-31T00:01:58-05:00
87,Sentinel 9.1,5437,2012-04-03T00:01:45-05:00
88,Sentinel 9.2,6374,2012-04-07T00:01:56-05:00
89,Sentinel 9.3,5585,2012-04-10T00:01:28-05:00
90,Sentinel 9.4,6316,2012-04-14T00:01:13-05:00
91,Sentinel 9.5,5495,2012-04-17T00:01:00-05:00
